datetime,1. open,2. high,3. low,4. close,5. volume
2017-03-27,41.07,41.89,40.56,41.74,6050846.0
2017-03-28,41.83,42.93,41.55,42.6,6185811.0
2017-03-29,42.69,42.76,41.87,41.96,5331362.0
2017-03-30,41.85,42.64,41.79,42.54,3681356.0
2017-03-31,42.37,42.94,42.2745,42.3,5427748.0
2017-04-01,,,,,
2017-04-02,,,,,
2017-04-03,42.33,42.57,41.625,42.45,5764716.0
2017-04-04,42.09,42.23,40.82,40.9,7254678.0
2017-04-05,41.15,42.13,41.06,41.31,7012673.0
2017-04-06,41.4,41.96,41.16,41.72,3627608.0
2017-04-07,41.53,42.1,41.28,41.81,4136988.0
2017-04-08,,,,,
2017-04-09,,,,,
2017-04-10,41.81,42.67,41.62,42.32,4650522.0
2017-04-11,42.78,43.95,42.412,43.93,10269604.0
2017-04-12,44.79,45.35,43.83,43.96,9991117.0
2017-04-13,43.95,44.02,43.335,43.35,5504930.0
2017-04-14,,,,,
2017-04-15,,,,,
2017-04-16,,,,,
2017-04-17,43.47,44.25,43.36,44.23,4563213.0
2017-04-18,44.03,44.53,43.4,43.81,5809175.0
2017-04-19,44.07,44.775,43.9,44.4,6573440.0
2017-04-20,44.71,45.38,44.56,45.22,4956478.0
2017-04-21,45.5,45.5,44.985,45.15,5535986.0
2017-04-22,,,,,
2017-04-23,,,,,
2017-04-24,45.5,46.44,45.47,46.44,6335098.0
2017-04-25,46.8,47.39,46.38,46.61,5919626.0
2017-04-26,46.51,46.9,46.24,46.4,5796494.0
2017-04-27,43.91,44.21,42.41,43.98,18967730.0
2017-04-28,44.02,44.06,42.56,42.62,13275283.0
2017-04-29,,,,,
2017-04-30,,,,,
2017-05-01,42.76,42.96,42.01,42.08,8565716.0
2017-05-02,42.06,43.91,42.05,43.87,9299545.0
2017-05-03,43.67,44.17,43.42,43.92,5126034.0
2017-05-04,44.18,44.39,43.195,43.91,4415417.0
2017-05-05,44.0,44.52,43.77,44.51,5453917.0
2017-05-06,,,,,
2017-05-07,,,,,
2017-05-08,44.6,45.045,44.515,44.94,6185608.0
2017-05-09,45.4,47.3,45.25,47.08,11096614.0
2017-05-10,47.03,47.78,46.67,47.3,7338623.0
2017-05-11,47.21,47.24,45.65,46.54,5806048.0
2017-05-12,46.26,46.44,45.73,45.83,3862123.0
2017-05-13,,,,,
2017-05-14,,,,,
2017-05-15,45.7,46.99,45.69,46.68,5512463.0
2017-05-16,46.79,47.1329,44.74,46.94,4623545.0
2017-05-17,46.25,46.56,44.88,44.92,6876072.0
2017-05-18,44.4,45.4,44.38,44.65,6602158.0
2017-05-19,44.8,45.38,44.74,45.22,6687527.0
2017-05-20,,,,,
2017-05-21,,,,,
2017-05-22,45.33,46.25,45.33,46.21,4400137.0
2017-05-23,46.27,46.69,45.94,46.66,2973686.0
2017-05-24,46.74,47.43,46.65,46.77,3864587.0
2017-05-25,46.99,48.12,46.82,48.02,5427787.0
2017-05-26,47.79,48.82,47.7294,48.74,5949998.0
2017-05-27,,,,,
2017-05-28,,,,,
2017-05-29,,,,,
2017-05-30,48.32,48.5775,47.79,47.96,5436698.0
2017-05-31,48.2,48.48,47.53,48.41,4273743.0
2017-06-01,48.5,49.36,48.3,49.05,4386516.0
2017-06-02,49.56,50.47,49.37,49.52,7684697.0
2017-06-03,,,,,
2017-06-04,,,,,
2017-06-05,49.53,49.95,49.4,49.74,5408043.0
2017-06-06,49.47,50.1,49.32,49.74,4291568.0
2017-06-07,49.44,50.91,48.8,50.86,6963237.0
2017-06-08,50.86,51.87,50.41,51.43,6431436.0
2017-06-09,51.61,51.95,50.25,50.27,7127543.0
2017-06-10,,,,,
2017-06-11,,,,,
2017-06-12,50.1,50.22,48.1,49.48,8513651.0
2017-06-13,49.56,49.91,48.84,49.45,5131732.0
2017-06-14,49.64,49.7801,48.89,49.39,3984930.0
2017-06-15,49.14,49.32,48.37,49.11,4557782.0
2017-06-16,48.9,49.45,48.62,48.79,6307744.0
2017-06-17,,,,,
2017-06-18,,,,,
2017-06-19,49.13,49.72,48.815,49.66,4059026.0
2017-06-20,49.22,49.36,48.01,48.03,5994726.0
2017-06-21,48.33,48.64,48.13,48.43,3366286.0
2017-06-22,50.5,50.56,48.79,48.97,9782704.0
2017-06-23,49.0,49.1,48.47,48.63,8350816.0
2017-06-24,,,,,
2017-06-25,,,,,
2017-06-26,48.81,49.78,48.535,48.78,3968629.0
2017-06-27,48.6,49.555,48.5,48.5,4245854.0
2017-06-28,48.82,49.7956,48.81,49.25,4225760.0
2017-06-29,49.28,49.685,48.82,49.62,6128085.0
2017-06-30,49.92,50.51,49.6,50.32,6525310.0
2017-07-01,,,,,
2017-07-02,,,,,
2017-07-03,50.78,51.28,50.37,50.39,2906524.0
2017-07-04,,,,,
2017-07-05,50.44,51.545,50.18,51.26,5070913.0
2017-07-06,50.97,52.58,50.86,52.05,6931741.0
2017-07-07,52.3,53.38,52.18,53.03,6520375.0
2017-07-08,,,,,
2017-07-09,,,,,
2017-07-10,52.98,53.16,52.23,52.66,4555509.0
2017-07-11,52.58,52.66,51.47,51.61,4508499.0
2017-07-12,53.12,53.825,52.45,53.8,8285911.0
2017-07-13,53.4,54.48,53.15,53.81,5175817.0
2017-07-14,53.8,54.28,53.34,54.22,4502855.0
2017-07-15,,,,,
2017-07-16,,,,,
2017-07-17,54.21,54.28,53.85,53.87,3706492.0
2017-07-18,53.83,53.84,53.02,53.15,4076956.0
2017-07-19,52.26,53.19,51.78,52.61,5736483.0
2017-07-20,52.72,52.78,52.1,52.34,4710286.0
2017-07-21,52.13,52.55,51.45,51.91,4497969.0
2017-07-22,,,,,
2017-07-23,,,,,
2017-07-24,51.79,52.03,51.24,51.28,4791448.0
2017-07-25,51.5,51.9,50.545,50.61,4418723.0
2017-07-26,50.63,51.165,50.01,51.01,4550661.0
2017-07-27,50.34,50.34,48.75,50.0,10218887.0
2017-07-28,49.02,50.67,48.73,50.49,9128800.0
2017-07-29,,,,,
2017-07-30,,,,,
2017-07-31,50.85,51.23,50.035,50.44,5906251.0
2017-08-01,51.13,52.0,50.3236,51.06,5032504.0
2017-08-02,50.89,51.18,49.9,50.45,4675113.0
2017-08-03,50.56,51.195,50.36,50.55,3045137.0
2017-08-04,50.67,50.92,50.3852,50.8,2984078.0
2017-08-05,,,,,
2017-08-06,,,,,
2017-08-07,50.82,51.13,50.46,50.58,2950719.0
2017-08-08,50.68,50.78,49.89,50.0,4209888.0
2017-08-09,49.74,49.92,49.23,49.4,4980641.0
2017-08-10,49.03,49.34,48.19,48.55,5404314.0
2017-08-11,48.5,48.785,47.44,48.35,5593492.0
2017-08-12,,,,,
2017-08-13,,,,,
2017-08-14,48.86,49.17,48.5,48.81,2924548.0
2017-08-15,48.76,49.0,48.35,48.52,3096892.0
2017-08-16,48.64,48.73,48.27,48.41,4121023.0
2017-08-17,48.25,48.34,45.795,46.03,10233947.0
2017-08-18,46.3,46.3,45.44,45.55,6126179.0
2017-08-19,,,,,
2017-08-20,,,,,
2017-08-21,45.73,46.09,45.41,45.71,4285268.0
2017-08-22,45.85,45.93,45.325,45.41,4013769.0
2017-08-23,45.17,45.2431,43.52,43.97,8096269.0
2017-08-24,44.13,44.15,42.67,42.92,6965561.0
2017-08-25,43.09,45.43,43.01,45.25,11703422.0
2017-08-26,,,,,
2017-08-27,,,,,
2017-08-28,45.23,45.3718,44.78,44.95,6934633.0
2017-08-29,44.53,44.85,44.38,44.56,5183754.0
2017-08-30,44.54,44.765,43.89,44.32,5423261.0
2017-08-31,44.54,44.94,44.43,44.74,3772040.0
2017-09-01,44.85,45.47,44.65,45.31,4552601.0
2017-09-02,,,,,
2017-09-03,,,,,
2017-09-04,,,,,
2017-09-05,44.79,45.28,43.84,43.92,8422704.0
2017-09-06,43.09,44.68,42.6066,44.31,8689321.0
2017-09-07,44.19,44.625,43.5347,43.84,5054164.0
2017-09-08,43.81,44.11,43.49,43.6,4654498.0
2017-09-09,,,,,
2017-09-10,,,,,
2017-09-11,44.01,46.09,44.0,45.86,7809128.0
2017-09-12,45.9,46.48,45.63,46.29,6267200.0
2017-09-13,46.35,47.58,46.1,47.0,7275482.0
2017-09-14,46.79,46.94,46.12,46.19,5277796.0
2017-09-15,45.3,46.04,45.19,46.0,14713930.0
2017-09-16,,,,,
2017-09-17,,,,,
2017-09-18,46.02,46.3,45.27,45.31,4554928.0
2017-09-19,45.28,45.66,44.03,44.38,6841479.0
2017-09-20,44.92,45.56,44.46,45.42,4686008.0
